secid,date,days,forward_price,strike_price,premium,impl_volatility,cp_flag,ticker,index_flag
107929,20120605,91,50.317373,50.317373,1.943716,0.193893,P,NGG,0
107929,20120605,122,50.341201,50.341201,2.227196,0.19181,P,NGG,0
107929,20120605,152,50.365146,50.365146,2.317304,0.178689,P,NGG,0
107929,20120605,182,48.368147,48.368147,2.523594,0.165554,P,NGG,0
107929,20120606,30,51.053352,51.053352,1.040233,0.178202,C,NGG,0
107929,20120606,60,51.075369,51.075369,1.467601,0.177796,C,NGG,0
107929,20120606,91,51.097792,51.097792,1.790422,0.176145,C,NGG,0
107929,20120606,122,51.121117,51.121117,2.070768,0.175968,C,NGG,0
107929,20120606,152,51.144272,51.144272,2.301797,0.175256,C,NGG,0
107929,20120606,182,49.146437,49.146437,3.543159,0.175084,C,NGG,0
107929,20120606,30,51.053352,51.053352,1.184205,0.202767,P,NGG,0
107929,20120606,60,51.075369,51.075369,1.681722,0.20353,P,NGG,0
107929,20120606,91,51.097792,51.097792,2.104708,0.206781,P,NGG,0
107929,20120606,122,51.121117,51.121117,2.306483,0.195623,P,NGG,0
107929,20120606,152,51.144272,51.144272,2.119706,0.160897,P,NGG,0
107929,20120606,182,49.146437,49.146437,2.307398,0.147451,P,NGG,0
107929,20120607,30,51.133664,51.133664,1.052312,0.179989,C,NGG,0
107929,20120607,60,51.155787,51.155787,1.492295,0.180505,C,NGG,0
107929,20120607,91,51.177989,51.177989,1.851239,0.181847,C,NGG,0
107929,20120607,122,51.200787,51.200787,2.138643,0.181457,C,NGG,0
107929,20120607,152,51.223487,51.223487,2.366696,0.17992,C,NGG,0
