<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20070112,000000,8.14,8.15,8.04,8.08,70793200,0
IBE.MC,D,20070115,000000,8.13,8.15,8.09,8.11,27949700,0
IBE.MC,D,20070116,000000,8.12,8.20,8.10,8.13,34557300,0
IBE.MC,D,20070117,000000,8.21,8.21,8.01,8.01,25471200,0
IBE.MC,D,20070118,000000,8.05,8.06,7.95,7.98,22200100,0
IBE.MC,D,20070119,000000,8.00,8.06,7.90,8.04,64568300,0
IBE.MC,D,20070122,000000,8.04,8.18,8.01,8.12,28234200,0
IBE.MC,D,20070123,000000,8.15,8.17,8.03,8.09,35336900,0
IBE.MC,D,20070124,000000,8.10,8.20,8.10,8.16,20089100,0
IBE.MC,D,20070125,000000,8.16,8.19,8.12,8.14,18808700,0
IBE.MC,D,20070126,000000,8.13,8.16,8.08,8.12,25266200,0
IBE.MC,D,20070129,000000,8.11,8.27,8.11,8.26,22758900,0
IBE.MC,D,20070130,000000,8.26,8.39,8.23,8.29,41161200,0
IBE.MC,D,20070131,000000,8.25,8.28,8.18,8.20,49006600,0
IBE.MC,D,20070201,000000,8.23,8.29,8.19,8.20,23270800,0
IBE.MC,D,20070202,000000,8.19,8.27,8.16,8.25,24421100,0
IBE.MC,D,20070205,000000,8.29,8.30,8.23,8.27,19377900,0
IBE.MC,D,20070206,000000,8.29,8.60,8.28,8.50,65316900,0
IBE.MC,D,20070207,000000,8.59,8.95,8.57,8.75,94228400,0
IBE.MC,D,20070208,000000,8.81,8.85,8.63,8.73,36784400,0
IBE.MC,D,20070209,000000,8.84,8.85,8.74,8.76,31662700,0
IBE.MC,D,20070212,000000,8.75,8.75,8.65,8.70,31179900,0
IBE.MC,D,20070213,000000,8.75,8.75,8.69,8.71,24658500,0
IBE.MC,D,20070214,000000,8.75,8.77,8.71,8.77,20930200,0
IBE.MC,D,20070215,000000,8.80,8.80,8.71,8.73,29144800,0
IBE.MC,D,20070216,000000,8.69,8.72,8.66,8.70,217525900,0
IBE.MC,D,20070219,000000,8.74,8.84,8.73,8.83,24902300,0
IBE.MC,D,20070220,000000,8.85,8.87,8.70,8.72,35770800,0
IBE.MC,D,20070221,000000,8.77,8.80,8.64,8.67,31781900,0
IBE.MC,D,20070222,000000,8.72,8.74,8.65,8.68,31449500,0
IBE.MC,D,20070223,000000,8.71,8.71,8.59,8.62,24424300,0
IBE.MC,D,20070226,000000,8.69,8.78,8.65,8.75,21463500,0
IBE.MC,D,20070227,000000,8.68,8.72,8.42,8.44,32332600,0
IBE.MC,D,20070228,000000,8.29,8.43,8.20,8.29,48022300,0
IBE.MC,D,20070301,000000,8.36,8.45,8.00,8.15,47076300,0
IBE.MC,D,20070302,000000,8.25,8.27,8.06,8.19,35137400,0
IBE.MC,D,20070305,000000,8.00,8.13,7.97,8.07,26869800,0
IBE.MC,D,20070306,000000,8.24,8.24,8.08,8.12,27015900,0
IBE.MC,D,20070307,000000,8.16,8.16,8.10,8.12,35801100,0
IBE.MC,D,20070308,000000,8.20,8.31,8.14,8.29,41345300,0
IBE.MC,D,20070309,000000,8.28,8.39,8.25,8.32,29539900,0
IBE.MC,D,20070312,000000,8.29,8.37,8.17,8.20,38809800,0
IBE.MC,D,20070313,000000,8.26,8.29,8.16,8.16,40152100,0
IBE.MC,D,20070314,000000,8.05,8.31,8.02,8.11,60764100,0
IBE.MC,D,20070315,000000,8.19,8.38,8.18,8.38,53378400,0
IBE.MC,D,20070316,000000,8.38,8.44,8.35,8.36,93858400,0
